Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2026-01-28,Marty Supreme,2025,https://boxd.it/cRREhl,2,,"<b><i>Marty Supreme</i></b> é um filme indeciso, que se perde em subplots ruins e num lado político totalmente subdesenvolvido. Fica a sensação de que cada cena foi calculada apenas para chocar e garantir indicações em premiações, mas sem o compromisso de concluir seus próprios arcos. É uma agressividade estética que tenta esconder uma narrativa que não tem nada de novo a dizer além de expor um personagem puramente narcisista (até mesmo com um cachorro pqp).
A direção tenta compensar essa falta de propósito com o caos. É uma montagem frenética que abusa de closes em espaços apertados. Praticamente não existem planos abertos, com exceção das partidas de tênis de mesa, que são bem filmadas e funcionam quase como uma metáfora para o ritmo hiperestimulante do filme. Esse excesso de planos apertados e cortes, junto com a trilha sonora, lembra até uma edit de TikTok. Além disso, existe um cinismo ridículo no texto, especialmente na tentativa lastimável de vilanizar o oponente japonês. O filme espera que a gente torça pelo americano apenas por ele ser americano, como se a ambição do personagem de Timothée fosse mais importante que a ética ou o amor pelo esporte.
Mas nem tudo é terrível. A conexão entre o Timothée e o Tyler, the Creator é muito boa. Eles entregam uma química com a qual a narrativa não consegue estar no mesmo ritmo. E tem o cachorrinho...",,2026-01-27
2026-02-01,Hamnet,2025,https://boxd.it/cVJNft,5,,Um filme que compreende a própria linguagem.,helene,2026-01-31
2026-02-11,Fallen Leaves,2023,https://boxd.it/d5csUp,4,,"<blockquote>— Estou deprimido.
— Por quê?
— Porque bebo demais.
— Então por que você bebe?
— Porque estou deprimido.</blockquote>",,2026-02-11
2026-02-12,The Aviator's Wife,1981,https://boxd.it/d5W5gN,4.5,,"<i><b>The Aviator's Wife</b></i> se organiza na transição entre a intimidade dos interiores, como o apartamento de Anne, e a amplitude dos espaços públicos de Paris. É nesse tipo de espaço, no metrô, que a investigação começa.
A investigação pelas ruas e pelo ônibus faz o François ganhar densidade através de sua vontade de projetar uma lógica em tudo o que vê. Rohmer o mostra perdido em dramas e ficções que ele mesmo cria, enquanto os outros ao redor agem como meros figurantes em uma vida que se cruza por puro acaso.
E é nessa lógica de encontros e observações que a sequência do parque se inicia. A decupagem fica mais incisiva, com a câmera se posicionando de um jeito que parece que estamos investigando o François e a Lucie enquanto eles investigam o aviador. O aviador e sua mulher viram o ponto de foco enquanto François e Lucie orbitam ao redor deles. Essa dinâmica mostra uma lógica obsessiva e, como em <i>Vertigo</i>, coloca em reflexão o próprio ato de observar a vida do outro. As pessoas aleatórias no parque olham os personagens, que observam outros personagens e que são todos observados por nós. Além disso, revela que a conexão entre François e Lucie só existe enquanto a investigação dura. Uma vez que o mistério perde o sentido, o vínculo se dissolve.
Passada a investigação, o diálogo final no apartamento de Anne é muito foda. Rohmer usa a câmera para rastrear o ""empurra e puxa"" indeciso entre os corpos e as vontades dos dois, capturando todas as nuances da falha de comunicação onde Anne transita entre o riso e a rejeição. Nessa oscilação que fica claro que os dois são cheios de contradições, vivendo nesse vaivém de se explicar e duvidar de si mesmos ao mesmo tempo.",helene,2026-02-11
2026-02-13,Céline,1992,https://boxd.it/d6HRlb,5,,"Céline e Geneviève são constantemente filmadas em ambientes onde a escuridão parece cercá-las, mas no fim sempre há uma luz, como no ditado de que sempre há uma luz no fim do túnel. Brisseau constrói um visual onírico próximo de <i>Mulholland Drive</i> no aspecto do sonho. As <a href=""https://imgbox.com/jZpsIB2m"" rel=""nofollow"">sombras projetadas</a> pelos próprios corpos expõem o peso do que elas carregam. O filme se desprende da racionalidade para narrar o que tá por trás, focando na simetria de tudo o que é intangível. Brisseau sabe que não consegue capturar o transcendente por completo, então ele emula o inarticulável para provocar uma reação direta em quem assiste. É aí que fica claro que colocar todo o sentido da vida no outro é algo tão humano quanto frágil, já que quando alguém vai embora, parece que uma parte de nós morre junto.
É dentro desse vazio que o cuidado silencioso (e mútuo) surge como o único caminho, fazendo com que na montagem da cena dos movimentos de ioga, as duas pareçam se <a href=""https://imgbox.com/6KtYZNg4"" rel=""nofollow"">unir</a> realmente, como se os corpos se fundissem em um processo de cura compartilhada. A gente realmente consegue fazer o bem para o outro mesmo quando ainda estamos lidando com as nossas próprias feridas. 
Os cenários parecem um paraíso. A trilha sonora e o foco na natureza sugerem um plano espiritual que dialoga com essa atmosfera, fazendo com que o processo de melhora se intensifique na composição visual de quando a Celine lava as roupas velhas e a Geneviève tá fazendo uma camisa nova pra ela. O sujo se torna novo e materializa a cura, que deixa de ser apenas um conforto interno para se tornar uma manifestação milagrosa. No fim, a jornada não era apenas da Celine, pois quem realmente precisava de cura e encontrou sentido cuidando da outra foi a Geneviève.",,2026-02-13
2026-02-15,Sentimental Value,2025,https://boxd.it/d8F4a3,1,,"Existe um choro constante que acaba dando uma sensação de novela ao se apoiar de uma obsessão pelo rosto, o que se traduz em um excesso de closes e desfoques constantes no fundo. Isso faz com que espaços abertos como a praia sejam muito pouco aproveitados por conta de uma imposição visual de ""olha aqui para a cara do ator como ele tá emotivo"" o tempo todo. A técnica cansa muito rápido, ainda mais porque o ator que interpreta Gustav mantém exatamente a mesma expressão o tempo inteiro, o que torna essa tentativa de capturar mudanças sutis algo vazio e (pasmem) repetitivo.
A iluminação em várias cenas incomoda bastante. Entendo a busca pela melancolia e pelo tom contemplativo, mas a falta de luz te obriga a fazer esforço para enxergar o rosto dos atores, remetendo muito a essa estética digital de filmes da Netflix. As falas são vazias e vivem se autoexplicando, o que torna a obra (pasmem de novo) repetitiva, como se estivesse quase alcançando um ápice dramático apenas para diluir o próprio impacto logo em seguida.
Achei a cena que mostra a dismorfia entre os personagens principal legal. A sequência final, após a reforma da casa, também é muito bem executada e parece ser a única coisa que o diretor realmente sabia como lidar desde o começo.",helene,2026-02-15
2026-02-17,Boyfriends and Girlfriends,1987,https://boxd.it/daM0B7,5,,"<blockquote>""A arte é puro prazer. A contemplação me basta.""</blockquote>Essa fala de Blanche para Adrienne em um diálogo nos minutos finais sintetiza exatamente o que penso quando estou assistindo aos filmes de Rohmer. Quero contemplar seus filmes. São simples, de diálogos densos e com uma naturalidade absoluta, que passa longe de qualquer encenação mais carregada.
Em <b><i>Boyfriends and Girlfriends</i></b>, a decupagem apenas testemunha os encontros, permitindo que a geometria dos espaços emoldure, com seu rigor, a inconstância dos sentimentos. Essa naturalidade é tão presente quanto as cores que transitam por sua encenação. Azul, vermelho, verde, amarelo, branco. É um <a href=""https://imgbox.com/8tk0c2De"" rel=""nofollow""><b>cromatismo</b></a> orgânico, onde as cores circulam entre os quatro personagens e lhes dão vida. No fim das contas, a contemplação basta porque tudo, do texto à imagem, demonstra uma precisão formal muito nítida.",,2026-02-16
2026-02-19,The Green Ray,1986,https://boxd.it/dcI9zf,5,,"Amo como Rohmer filma o distanciamento da Delphine com as coisas e com ela mesma aqui. Essa sensação de não pertencer a lugar nenhum é conduzida por uma decupagem onde o tempo da espera parece mais importante que o desenrolar dos fatos.
A cena da praia, logo após ela ouvir sobre o fenômeno, é especialmente sufocante. Mesmo em um espaço aberto, a presença de tantos desconhecidos ao redor parece esmagar a protagonista. Se o convívio próximo já a cansava, a presença invasiva do desconhecido a esmaga por dentro. Todo esse desconforto serve para estreitar o caminho até o horizonte, onde a clareza do raio verde surge para validar sua intuição.",,2026-02-19
2026-02-20,Twenty Years Later,1984,https://boxd.it/ddzz2x,5,,"O fato de Eduardo Coutinho participar e atuar como um interlocutor presente enquanto escuta, ajuda e acolhe Elizabeth e sua família, como ao levar imagens dela para os filhos após anos de separação, é incrível e faz com que essa interação transforme o documentário em um dispositivo de proximidade, onde o diretor valida a verdade documental ao amparar a reconstrução da memória sem nunca se sobrepor à dor de Elizabeth e sua família.",,2026-02-20
2026-02-22,Lost Highway,1997,https://boxd.it/dfGNfx,4,,"<a href=""https://imgbox.com/3KFEQH09"">Prisão onírica</a>.",,2026-02-21
